wavelength (um),n
1.68,1.0004365
1.94,1.0004357
2.67,1.0004327
2.79,1.0004315
2.96,1.0004278
3,1.00042585
3.64,1.00044525
3.75,1.0004428
3.9,1.0004411
4.04,1.0004401
4.45,1.0004378
4.57,1.0004373
4.7,1.0004368
5.06,1.0004358
5.4,1.00043455
5.6,1.000434
5.84,1.0004326
5.98,1.00043205
6.33,1.00042905
6.56,1.0004263
6.79,1.0004218
6.94,1.0004168
7,1.0004136
8.36,1.0004665
8.42,1.0004636
8.48,1.000462
8.57,1.0004603
8.63,1.000459
8.7,1.0004577
8.8,1.000456
8.89,1.0004547
8.95,1.0004538
9.05,1.0004534
9.2,1.0004522
9.41,1.0004509
9.52,1.0004506
9.73,1.0004496
10.11,1.0004486
10.28,1.0004476
10.38,1.0004477
10.8,1.0004465
10.94,1.0004467
11.46,1.0004471
11.89,1.0004453
12.36,1.0004458
13.2,1.000445
13.6,1.0004437
14,1.0004484
14.8,1.0004438
