wl,n
0.1680,1.0001892229767
0.1833,1.0001774780683
0.1985,1.0001695084053
0.2138,1.0001637171505
0.2291,1.0001593708336
0.2443,1.0001560275515
0.2596,1.0001533586122
0.2749,1.0001512019323
0.2901,1.0001494411659
0.3054,1.0001479645258
0.3207,1.0001467204276
0.3359,1.0001456678203
0.3512,1.0001447573007
0.3664,1.000143973761
0.3817,1.0001432856912
0.3970,1.0001426818114
0.4122,1.0001421519976
0.4275,1.0001416785279
0.4428,1.0001412563024
0.4580,1.0001408804352
0.4733,1.0001405400263
0.4886,1.0001402326901
0.5038,1.0001399559666
0.5191,1.0001397026889
0.5344,1.0001394717534
0.5496,1.0001392619054
0.5649,1.0001390681828
0.5802,1.0001388901177
0.5954,1.0001387270846
0.6107,1.0001385755045
0.6260,1.000138435234
0.6412,1.000138305987
0.6565,1.0001381850955
0.6717,1.0001380732924
0.6870,1.0001379683493
0.7023,1.0001378703516
0.7175,1.0001377792761
0.7328,1.0001376933886
0.7481,1.0001376128259
0.7633,1.0001375376341
0.7786,1.0001374664362
0.7939,1.0001373993903
0.8091,1.0001373365799
0.8244,1.0001372768918
0.8397,1.0001372204901
0.8549,1.0001371674761
0.8702,1.0001371169369
0.8855,1.0001370690332
0.9007,1.0001370238737
0.9160,1.0001369806996
0.9313,1.0001369396641
0.9465,1.0001369008768
0.9618,1.0001368636997
0.9770,1.0001368285024
0.9923,1.0001367947135
1.008,1.0001367616464
1.023,1.0001367314807
1.038,1.0001367026272
1.053,1.0001366750108
1.069,1.000136646838
1.084,1.0001366215621
1.099,1.0001365973239
1.114,1.0001365740672
1.130,1.0001365502829
1.145,1.0001365288926
1.160,1.0001365083337
1.175,1.0001364885637
1.191,1.0001364683002
1.206,1.0001364500368
1.221,1.0001364324475
1.237,1.0001364143917
1.252,1.0001363980937
1.267,1.0001363823753
1.282,1.0001363672093
1.298,1.0001363516121
1.313,1.0001363375081
1.328,1.0001363238823
1.343,1.0001363107135
1.359,1.0001362971475
1.374,1.00013628486
1.389,1.0001362729709
1.404,1.0001362614629
1.420,1.0001362495898
1.435,1.0001362388195
1.450,1.0001362283835
1.466,1.0001362176049
1.481,1.0001362078172
1.496,1.000136198324
1.511,1.0001361891135
1.527,1.0001361795881
1.542,1.0001361709272
1.557,1.0001361625167
1.572,1.0001361543468
1.588,1.0001361458874
1.603,1.0001361381866
1.618,1.0001361307
1.633,1.0001361234196
1.649,1.0001361158727
1.664,1.0001361089952
1.679,1.0001361023018
1.695,1.000136095358
