wl,n,k
0.0006199,0.99993,0.00001503
0.0006351,0.99992,0.00001636
0.0006508,0.99992,0.00001781
0.0006665,0.99991,0.00001936
0.0006831,0.99991,0.0000063
0.0006997,0.99991,0.000006904
0.0007166,0.9999,0.000007564
0.0007345,0.9999,0.000008298
0.0007523,0.99989,0.000009083
0.0007705,0.99989,0.000009941
0.0007897,0.99988,0.0000109
0.0008087,0.99987,0.00001193
0.0008287,0.99987,0.00001308
0.0008492,0.99986,0.00001432
0.0008694,0.99985,0.00001562
0.0008906,0.99985,0.00001708
0.0009129,0.99984,0.00001872
0.000935,0.99983,0.00002044
0.0009581,0.99982,0.00002238
0.0009816,0.99981,0.00002447
0.001005,0.99981,0.00002673
0.00103,0.9998,0.00002916
0.001055,0.99979,0.00003189
0.001081,0.99978,0.00003483
0.001108,0.99976,0.00003812
0.001134,0.99975,0.00004155
0.001162,0.99974,0.00004537
0.001191,0.99973,0.00004965
0.00122,0.99971,0.00005423
0.00125,0.9997,0.00005915
0.001281,0.99968,0.00006468
0.001312,0.99967,0.00007061
0.001343,0.99965,0.00007686
0.001376,0.99964,0.00008364
0.00141,0.99962,0.00009121
0.001445,0.9996,0.0000993
0.001479,0.99958,0.000108
0.001516,0.99956,0.0001179
0.001554,0.99954,0.0001289
0.001592,0.99951,0.0001407
0.001631,0.99949,0.0001535
0.001671,0.99946,0.0001671
0.00171,0.99944,0.0001813
0.001754,0.99941,0.0001981
0.001797,0.99938,0.0002149
0.001839,0.99935,0.0002326
0.001884,0.99932,0.0002536
0.001931,0.99928,0.0002771
0.001977,0.99925,0.0003009
0.002026,0.99921,0.000327
0.002077,0.99917,0.000356
0.002127,0.99913,0.0003862
0.002179,0.99909,0.0004199
0.002234,0.99904,0.0004578
0.002287,0.99899,0.0004971
0.002344,0.99894,0.0001486
0.002403,0.99889,0.0001621
0.00246,0.99884,0.000176
0.00252,0.99878,0.000191
0.002583,0.99872,0.000208
0.002643,0.99866,0.000226
0.002707,0.99859,0.000245
0.002774,0.99852,0.000267
0.002844,0.99845,0.00029
0.00291,0.99837,0.000315
0.002987,0.99828,0.000344
0.003054,0.99821,0.000371
0.003131,0.99812,0.000404
0.003212,0.99802,0.00044
0.003289,0.99792,0.000477
0.003369,0.99782,0.000518
0.003453,0.99771,0.000563
0.003532,0.9976,0.000607
0.003625,0.99747,0.000662
0.003712,0.99735,0.000717
0.003803,0.99722,0.000777
0.003899,0.99708,0.000844
0.003986,0.99695,0.000909
0.004092,0.99678,0.000991
0.004188,0.99663,0.00107
0.00429,0.99646,0.00116
0.004396,0.99629,0.00125
0.004508,0.99609,0.00136
0.004609,0.99592,0.00146
0.004732,0.9957,0.00159
0.004843,0.99549,0.00171
0.004959,0.99527,0.00185
0.005081,0.99504,0.002
0.005209,0.99478,0.00216
0.005344,0.99451,0.00234
0.005462,0.99427,0.0025
0.00561,0.99395,0.00272
0.00574,0.99367,0.00292
0.005876,0.99336,0.00314
0.006018,0.99304,0.00337
0.006168,0.99269,0.00363
0.006325,0.99231,0.0039
0.006491,0.9919,0.00421
0.00663,0.99155,0.00447
0.006812,0.99108,0.00482
0.006965,0.99068,0.00511
0.007125,0.99024,0.00544
0.007293,0.9898,0.0058
0.007469,0.9893,0.00619
0.007653,0.9887,0.00662
0.007847,0.9882,0.00699
0.008051,0.9875,0.0073
0.0082,0.9871,0.0073
0.0084,0.9865,0.0076
0.0086,0.986,0.0081
0.0088,0.9855,0.0089
0.009,0.9853,0.0099
0.0092,0.9854,0.0107
0.0094,0.9858,0.0114
0.0096,0.9868,0.0111
0.0098,0.9872,0.0111
0.01,0.9874,0.0097
0.0102,0.9865,0.0085
0.0104,0.9851,0.0083
0.0106,0.9841,0.0096
0.0108,0.9848,0.0099
0.011,0.9844,0.009
0.0112,0.9822,0.0093
0.0114,0.9828,0.0159
0.0116,0.9867,0.0106
0.0118,0.9858,0.0075
0.012,0.9839,0.0065
0.0122,0.9823,0.0068
0.0124,0.9813,0.007
0.0126,0.9803,0.0073
0.0128,0.9794,0.0076
0.013,0.9789,0.0076
0.0132,0.9778,0.0083
0.0134,0.977,0.0087
0.0136,0.9761,0.0093
0.0138,0.9747,0.0103
0.015,0.9634,0.0199
0.016,0.9608,0.0226
0.017,0.9562,0.0244
0.018,0.9509,0.0281
0.019,0.9458,0.0335
0.02,0.9416,0.0374
0.021,0.9386,0.0437
0.022,0.9328,0.0462
0.023,0.9271,0.052
0.024,0.9222,0.0578
0.025,0.9164,0.065
0.026,0.9105,0.0726
0.027,0.9207,0.068
0.028,0.9175,0.075
0.029,0.9137,0.082
0.03,0.913,0.09
0.031,0.907,0.092
0.032,0.901,0.094
0.033,0.895,0.098
0.034,0.888,0.107
0.035,0.882,0.113
0.036,0.877,0.12
0.037,0.87,0.128
0.038,0.866,0.137
0.039,0.858,0.144
0.04,0.851,0.156
0.041,0.845,0.169
0.042,0.839,0.18
0.043,0.833,0.19
0.044,0.827,0.202
0.045,0.822,0.218
0.046,0.817,0.233
0.047,0.813,0.25
0.048,0.808,0.27
0.049,0.804,0.282
0.05,0.803,0.3
0.051,0.804,0.322
0.052,0.806,0.343
0.053,0.811,0.366
0.054,0.817,0.385
0.055,0.822,0.408
0.056,0.829,0.43
0.057,0.833,0.45
0.058,0.843,0.47
0.059,0.851,0.482
0.06,0.862,0.497
0.06199,0.859,0.585
0.06358,0.879,0.613
0.06526,0.902,0.645
0.06701,0.927,0.677
0.06888,0.957,0.712
0.06985,0.975,0.731
0.07085,0.999,0.75
0.07187,1.03,0.763
0.07293,1.072,0.768
0.07402,1.124,0.765
0.07514,1.137,0.755
0.0763,1.156,0.737
0.07749,1.172,0.717
0.07872,1.178,0.703
0.07999,1.172,0.696
0.0813,1.167,0.699
0.08266,1.168,0.711
0.08405,1.175,0.739
0.08551,1.195,0.771
0.087,1.225,0.799
0.08856,1.265,0.808
0.09017,1.32,0.795
0.09184,1.363,0.775
0.09357,1.371,0.755
0.09537,1.368,0.747
0.09724,1.372,0.766
0.09919,1.383,0.793
0.1012,1.41,0.824
0.1033,1.475,0.861
0.1051,1.554,0.874
0.1069,1.635,0.859
0.1088,1.716,0.81
0.1107,1.766,0.718
0.1127,1.739,0.569
0.1137,1.687,0.565
0.1148,1.587,0.618
0.1159,1.513,0.725
0.117,1.492,0.914
0.1181,1.567,1.11
0.1187,1.645,1.136
0.1192,1.772,1.13
0.1198,1.919,1.045
0.1204,2.048,0.925
0.121,2.152,0.81
0.1215,2.24,0.715
0.1228,2.332,0.46
0.124,2.33,0.323
0.1252,2.292,0.236
0.1265,2.243,0.168
0.1278,2.19,0.119
0.1291,2.14,0.077
0.1305,2.092,0.0561
0.1319,2.047,0.043
0.1333,2.006,0.0339
0.1348,1.969,0.0271
0.1362,1.935,0.0228
0.1378,1.904,0.0189
0.1393,1.876,0.0156
0.1409,1.85,0.0132
0.1425,1.825,0.0109
0.1442,1.803,0.00838
0.1459,1.783,0.00557
0.1476,1.764,0.00317
0.1494,1.747,0.0014
0.1512,1.73,0.000463
0.1531,1.716,0.000122
0.155,1.702,0.000032
0.159,1.676,0.0000047
0.1631,1.653,0
0.1675,1.633,0
0.1722,1.616,0
0.1771,1.6,0
0.1837,1.582,0
0.1907,1.567,0
0.1984,1.554,0
0.2066,1.543,0
0.21,1.53835762,0
0.2174,1.530846431,0
0.2251,1.524078907,0
0.233,1.518041768,0
0.2412,1.512572116,0
0.2497,1.507609587,0
0.2585,1.503100963,0
0.2676,1.498999219,0
0.277,1.495262719,0
0.2868,1.491821503,0
0.2969,1.488683281,0
0.3074,1.485791437,0
